,Unnamed: 0,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Longitude,Latitude,GEOID_num,OccDensity,nullcheck,geometry,population,income,demand_scaled
67,440,42,3,10300,1400000US42003010300,42003010300,103.0,CT,866169,217686,40.4357904442,-79.9851381838,42003010300.0,,,"POLYGON ((-79.99471299999999 40.435829999999996, -79.994564 40.437352, -79.993899 40.438927, -79.986462 40.438607, -79.985057 40.438542, -79.981365 40.438386, -79.97754499999999 40.438229, -79.975887 40.438147, -79.973546 40.437948, -79.97264299999999 40.437695, -79.972807 40.436862999999995, -79.972916 40.436322, -79.973502 40.433876999999995, -79.975827 40.434315, -79.981459 40.433546, -79.98810999999999 40.432601, -79.98914099999999 40.432598, -79.993405 40.432612999999996, -79.996738 40.432801, -79.99471299999999 40.435829999999996))",6652,5197,0.7204544209560054
18,111,42,3,20100,1400000US42003020100,42003020100,201.0,CT,1678018,440541,40.4408553574,-79.9999261752,42003020100.0,,,"POLYGON ((-80.014573 40.442975, -80.00909899999999 40.444089, -80.00807999999999 40.444297, -80.003344 40.445648, -80.001437 40.446191999999996, -79.99976 40.446678999999996, -79.997924 40.447272999999996, -79.996133 40.448181999999996, -79.99526999999999 40.446884999999995, -79.994767 40.446086, -79.994248 40.445439, -79.99394 40.445253, -79.990606 40.445578999999995, -79.99049099999999 40.445198999999995, -79.990894 40.444254, -79.991086 40.444123999999995, -79.99163899999999 40.443611, -79.992744 40.441337999999995, -79.99068299999999 40.442873999999996, -79.988315 40.443897, -79.988136 40.44405, -79.98601 40.44103, -79.985006 40.439637999999995, -79.985057 40.438542, -79.986462 40.438607, -79.993899 40.438927, -79.994564 40.437352, -79.99471299999999 40.435829999999996, -79.996738 40.432801, -79.998071 40.433063, -80.00198499999999 40.435067, -80.0102 40.438628, -80.014217 40.4407, -80.01629 40.443207, -80.014573 40.442975))",5490,36875,0.5097788069329167
229,1871,42,3,20300,1400000US42003020300,42003020300,203.0,CT,1594963,326537,40.4542975246,-79.9813810617,42003020300.0,,,"POLYGON ((-79.996133 40.448181999999996, -79.992395 40.450413, -79.990791 40.451588, -79.980621 40.45904, -79.97963399999999 40.460080999999995, -79.976016 40.463091, -79.973908 40.465869999999995, -79.968074 40.461012, -79.974947 40.456294, -79.972905 40.455613, -79.97366699999999 40.452843, -79.973946 40.452705, -79.97685 40.450965, -79.979146 40.450402, -79.980942 40.449915, -79.983899 40.448519999999995, -79.987036 40.446593, -79.990894 40.444254, -79.99049099999999 40.445198999999995, -79.990606 40.445578999999995, -79.99394 40.445253, -79.994248 40.445439, -79.994767 40.446086, -79.99526999999999 40.446884999999995, -79.996133 40.448181999999996))",1212,81250,0.5437930590077714
230,1872,42,3,30500,1400000US42003030500,42003030500,305.0,CT,663825,0,40.4427095462,-79.98372935479999,42003030500.0,,,"POLYGON ((-79.99163899999999 40.443611, -79.991086 40.444123999999995, -79.990894 40.444254, -79.987036 40.446593, -79.983899 40.448519999999995, -79.98365199999999 40.447641999999995, -79.982429 40.446493, -79.980342 40.443632, -79.97927299999999 40.442872, -79.97787799999999 40.439347999999995, -79.97537299999999 40.439202, -79.97754499999999 40.438229, -79.981365 40.438386, -79.985057 40.438542, -79.985006 40.439637999999995, -79.98601 40.44103, -79.988136 40.44405, -79.988315 40.443897, -79.99068299999999 40.442873999999996, -79.992744 40.441337999999995, -79.99163899999999 40.443611))",2109,14300,0.36915191699770433
377,3070,42,3,40200,1400000US42003040200,42003040200,402.0,CT,604717,0,40.4401629995,-79.96613618949999,42003040200.0,,,"POLYGON ((-79.97754499999999 40.438229, -79.97537299999999 40.439202, -79.97301999999999 40.43978, -79.973209 40.44012, -79.972433 40.44037, -79.968713 40.438770999999996, -79.967946 40.441147, -79.968333 40.441826, -79.96801599999999 40.442903, -79.96610799999999 40.44336, -79.965757 40.442819, -79.96517899999999 40.443255, -79.963252 40.444663, -79.962881 40.443259999999995, -79.959333 40.443554999999996, -79.957438 40.442513999999996, -79.959169 40.441266, -79.960275 40.44046, -79.96177 40.439354, -79.962071 40.439130999999996, -79.963932 40.437841999999996, -79.965336 40.437663, -79.966925 40.436454, -79.968796 40.436451999999996, -79.97264299999999 40.437695, -79.973546 40.437948, -79.975887 40.438147, -79.97754499999999 40.438229))",1576,8407,0.28337025649286485
68,441,42,3,40400,1400000US42003040400,42003040400,404.0,CT,199505,0,40.447377315,-79.9494499938,42003040400.0,,,"POLYGON ((-79.952724 40.448358, -79.951846 40.448988, -79.950738 40.4498, -79.948751 40.450392, -79.94769099999999 40.447976, -79.946867 40.447143, -79.947188 40.447115, -79.946584 40.444911, -79.94690299999999 40.444514, -79.950366 40.445158, -79.950588 40.4468, -79.951911 40.446476, -79.952724 40.448358))",1871,26887,1.0
166,1292,42,3,40500,1400000US42003040500,42003040500,405.0,CT,472314,0,40.4396040334,-79.9559485937,42003040500.0,,,"POLYGON ((-79.96177 40.439354, -79.960275 40.44046, -79.959169 40.441266, -79.957438 40.442513999999996, -79.95643799999999 40.441949, -79.95354499999999 40.443175, -79.952075 40.442322999999995, -79.949244 40.441345, -79.950614 40.439372, -79.95233499999999 40.439672, -79.954532 40.437525, -79.95617399999999 40.435773999999995, -79.956408 40.435123999999995, -79.958171 40.435818999999995, -79.95841999999999 40.436187, -79.96123999999999 40.438465, -79.962071 40.439130999999996, -79.96177 40.439354))",3255,5893,0.6537076709070162
372,3056,42,3,40600,1400000US42003040600,42003040600,406.0,CT,253062,0,40.4367626398,-79.95233439729999,42003040600.0,,,"POLYGON ((-79.95617399999999 40.435773999999995, -79.954532 40.437525, -79.95233499999999 40.439672, -79.950614 40.439372, -79.949244 40.441345, -79.948953 40.441179999999996, -79.949788 40.440008, -79.94986 40.43443, -79.952213 40.434245, -79.95319099999999 40.434383, -79.954729 40.434612, -79.955938 40.434967, -79.956408 40.435123999999995, -79.95617399999999 40.435773999999995))",2212,8266,0.8337610533327229
231,1873,42,3,40900,1400000US42003040900,42003040900,409.0,CT,912392,0,40.433335315,-79.9580662493,42003040900.0,,,"POLYGON ((-79.972807 40.436862999999995, -79.97264299999999 40.437695, -79.968796 40.436451999999996, -79.966925 40.436454, -79.965336 40.437663, -79.963932 40.437841999999996, -79.962071 40.439130999999996, -79.96123999999999 40.438465, -79.95841999999999 40.436187, -79.958171 40.435818999999995, -79.956408 40.435123999999995, -79.955938 40.434967, -79.954729 40.434612, -79.95319099999999 40.434383, -79.952213 40.434245, -79.94986 40.43443, -79.949884 40.433609, -79.94966 40.429300999999995, -79.949658 40.429190999999996, -79.950431 40.427597999999996, -79.952371 40.427392999999995, -79.954571 40.42791, -79.956272 40.429113, -79.956927 40.429835, -79.959935 40.432218, -79.967187 40.435337, -79.972916 40.436322, -79.972807 40.436862999999995))",3577,11518,0.41966762276064684
126,1018,42,3,50100,1400000US42003050100,42003050100,501.0,CT,790373,0,40.4477578058,-79.9728267453,42003050100.0,,,"POLYGON ((-79.982429 40.446493, -79.97555 40.449408999999996, -79.97299799999999 40.450493, -79.972523 40.449619999999996, -79.971131 40.450209, -79.96945699999999 40.451997, -79.96666499999999 40.453175, -79.964925 40.452883, -79.964377 40.452270999999996, -79.96436 40.451958999999995, -79.965183 40.450544, -79.96486999999999 40.448777, -79.967485 40.447103999999996, -79.969054 40.446039, -79.971864 40.444993, -79.973393 40.444364, -79.975045 40.44366, -79.975616 40.444438, -79.97927299999999 40.442872, -79.980342 40.443632, -79.982429 40.446493))",1745,17806,0.30258484158096327
