route,distance,store,client
"['store', 'client']",[2.793681306633984],"(40.41101822870703, -79.91054922095948)","(40.434092603899344, -79.92366837816975)"
"['store', '56', 'client']",[12.836201162201483],"(40.41101822870703, -79.91054922095948)","(40.39290366505911, -80.05721399868945)"
"['store', '14', '10', 'client']",[20.313734863982656],"(40.41101822870703, -79.91054922095948)","(40.460449645550646, -80.13299719125996)"
"['store', '14', 'client']",[14.220792815504872],"(40.41101822870703, -79.91054922095948)","(40.48086857652204, -80.03640056169868)"
"['store', 'client']",[7.532528595456708],"(40.41101822870703, -79.91054922095948)","(40.470271807581454, -79.86732852168767)"
"['store', '56', '23', '5', '17', '57', '54', '48', 'client']",[59.18434657534032],"(40.41101822870703, -79.91054922095948)","(40.509613459109225, -80.12585870150531)"
"['store', 'client']",[6.227485709465844],"(40.41101822870703, -79.91054922095948)","(40.46664230531856, -79.91990680388099)"
"['store', '6', '39', 'client']",[16.15343255922938],"(40.41101822870703, -79.91054922095948)","(40.5377657052202, -80.00368668914567)"
"['store', 'client']",[8.429587214169048],"(40.41101822870703, -79.91054922095948)","(40.477438104945065, -79.95866103237759)"
"['store', '56', 'client']",[12.048301567147236],"(40.41101822870703, -79.91054922095948)","(40.43274487572321, -80.04964036015117)"
"['store', '14', 'client']",[13.80936733148685],"(40.41101822870703, -79.91054922095948)","(40.41777980545186, -80.07287660151569)"
"['store', 'client']",[9.028490277933809],"(40.41101822870703, -79.91054922095948)","(40.38490224063105, -79.8098369641908)"
"['store', 'client']",[9.319616548767911],"(40.41101822870703, -79.91054922095948)","(40.42890431974915, -80.01783912819745)"
"['store', '33', 'client']",[13.442417778205893],"(40.41101822870703, -79.91054922095948)","(40.51839879212936, -79.83758472205159)"
"['store', '6', '4', '40', 'client']",[27.69815416506042],"(40.41101822870703, -79.91054922095948)","(40.62940524408312, -79.86815145792545)"
"['store', '56', '23', '5', '17', '57', '54', 'client']",[50.641995713070486],"(40.41101822870703, -79.91054922095948)","(40.52337013186781, -80.2239212982968)"
"['store', 'client']",[8.954671427773905],"(40.41101822870703, -79.91054922095948)","(40.39417853804845, -79.80738945508777)"
"['store', '14', 'client']",[14.81561919488096],"(40.41101822870703, -79.91054922095948)","(40.487125381117394, -80.03717694773073)"
